"name","mf","idx","formula","mw","qindx","dri","tol","mfp","modmf","ri","rt"
"2,4,6,8,10-Pentamethyl-1-tridecene (isomer)",760.010107751896,15,"C18H36","252",156,5.09999999999991,15.097,0,760.010107751896,1509.7,8.7784
"2,4,6-Triethyl-8-methyl-1-decene",844.57327349686,151,"C17H34","238",156,52.9000000000001,15.097,125.200370934623,719.372902562237,1509.7,8.7784
"2,4,6,8,10,12-Hexamethyl-1,12-tridecadiene (isomer)",851.959145885776,14,"C19H36","264",159,60.4000000000001,15.248,148.058761804827,703.900384080949,1524.8,8.8684
"2,4,6,8,10-Pentamethyl-1-tridecene (isomer)",837.56139843373,15,"C18H36","252",164,53,15.678,119.026661563975,718.534736869755,1567.8,9.1243
"Hexadecane",757.85705467937,50,"C16H34","226",165,24.0999999999999,15.759,26.4642426549905,731.392812024379,1575.9,9.1723
"1,15-Hexadecadiene",887.780747778572,44,"C16H30","222",168,15.5999999999999,15.986,0,887.780747778572,1598.6,9.3076
"Hexadecane",754.952782044624,50,"C16H34","226",169,1.20000000000005,16.012,0,754.952782044624,1601.2,9.3229
"1-Hexadecene",937.550493167724,51,"C16H32","224",170,18.3999999999999,16.091,7.17481822136557,930.375674946358,1609.1,9.3676
"1-Heptadecene",936.282089767577,42,"C17H34","238",170,81.7,16.091,203.868622211174,732.413467556403,1609.1,9.3676
"2,4,6,8-Tetraethyl-1-dodecene (isomer1)",952.533122290423,149,"C20H40","280",171,64.2,16.226,147.830642179219,804.702480111204,1622.6,9.4436
"2,4,6,8-Tetraethyl-1-dodecene (isomer 2)",947.696096896486,147,"C20H40","280",171,81.2,16.226,200.215703192407,747.480393704079,1622.6,9.4436
"2,4,6,8-Tetraethyl-1-dodecene (isomer1)",833.881547995083,149,"C20H40","280",174,51.8,16.35,108.409785932722,725.471762062361,1635,9.5136
"2,4,6,8-Tetraethyl-1-dodecene (isomer1)",942.806161300939,149,"C20H40","280",175,41.7,16.451,76.7400158045105,866.066145496429,1645.1,9.5709
"2,4,6,8-Tetraethyl-1-dodecene (isomer 2)",943.992075033082,147,"C20H40","280",175,58.7,16.451,128.408607379491,815.583467653591,1645.1,9.5709
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 1)",944.533207686392,13,"C21H42","294",178,55.6000000000001,16.713,116.337581523365,828.195626163026,1671.3,9.7189
"2,4,6,8-Tetraethyl-1-dodecene (isomer1)",802.582571902746,149,"C20H40","280",178,15.5,16.713,0,802.582571902746,1671.3,9.7189
"2,4,6,8-Tetraethyl-1-dodecene (isomer 2)",807.227470817312,147,"C20H40","280",178,32.5,16.713,47.2297014300245,759.997769387287,1671.3,9.7189
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 2)",951.947276086079,12,"C21H42","294",178,84.9000000000001,16.713,203.993896966434,747.953379119645,1671.3,9.7189
"2,4,6,8-Tetraethyl-10-methyl-1-dodecene",836.314143063668,146,"C21H42","294",178,60.5,16.713,130.996828815892,705.317314247776,1671.3,9.7189
"2,4,6,8-Tetraethyl-1-dodecene (isomer1)",870.045129196297,149,"C20H40","280",179,5.29999999999995,16.815,0,870.045129196297,1681.5,9.7768
"2,4,6,8-Tetraethyl-1-dodecene (isomer 2)",867.203459590062,147,"C20H40","280",179,22.3,16.815,16.3098424026166,850.893617187445,1681.5,9.7768
"2,4,6,8-Tetraethyl-10-methyl-1-dodecene",933.357575094585,146,"C21H42","294",179,50.3,16.815,99.5688373476062,833.788737746979,1681.5,9.7768
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 1)",838.293459807852,13,"C21H42","294",179,45.4000000000001,16.815,84.9985132322334,753.294946575619,1681.5,9.7768
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 1)",861.405538662943,13,"C21H42","294",180,34,16.929,50.4193986650127,810.986139997931,1692.9,9.8408
"1-Heptadecene",739.21992806952,42,"C17H34","238",180,2.10000000000014,16.929,0,739.21992806952,1692.9,9.8408
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 2)",856.851454646956,12,"C21H42","294",180,63.3,16.929,136.95729222045,719.894162426506,1692.9,9.8408
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 1)",903.233428986358,13,"C21H42","294",182,20.5,17.064,10.0679793717768,893.165449614581,1706.4,9.9181
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 2)",907.367955446936,12,"C21H42","294",182,49.8,17.064,95.9212376933895,811.446717753546,1706.4,9.9181
"2,4,6,8-Tetraethyl-10-methyl-1-dodecene",757.74763616726,146,"C21H42","294",182,25.3999999999999,17.064,24.4256915142987,733.321944652962,1706.4,9.9181
"2,4,6,8-Tetraethyl-1-dodecene (isomer1)",734.113367103252,149,"C20H40","280",182,19.6000000000001,17.064,7.43084857008948,726.682518533163,1706.4,9.9181
"2,4,6,8-Tetraethyl-1-dodecene (isomer 2)",725.04799614874,147,"C20H40","280",182,2.60000000000014,17.064,0,725.04799614874,1706.4,9.9181
"2,4,6,8-Tetraethyl-10-methyl-1-dodecene",895.38880991179,146,"C21H42","294",183,15.0999999999999,17.167,0,895.38880991179,1716.7,9.9708
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 1)",857.277876697818,13,"C21H42","294",183,10.2,17.167,0,857.277876697818,1716.7,9.9708
"2,4,6,8-Tetraethyl-1-dodecene (isomer 2)",824.953116583741,147,"C20H40","280",183,12.9000000000001,17.167,0,824.953116583741,1716.7,9.9708
"2,4,6,8-Tetraethyl-1-dodecene (isomer1)",827.511832595872,149,"C20H40","280",183,29.9000000000001,17.167,37.0856876565506,790.426144939321,1716.7,9.9708
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 2)",850.747868952717,12,"C21H42","294",183,39.5,17.167,65.0463097803926,785.701559172325,1716.7,9.9708
"1,16-Heptadecadiene",798.487516840999,43,"C17H32","236",184,42.5,17.258,73.1313014254259,725.356215415573,1725.8,10.0194
"1-Heptadecene",780.799986493097,42,"C17H34","238",185,35.7,17.265,53.3883579496092,727.411628543488,1726.5,10.0234
"1,16-Heptadecadiene",791.445551037498,43,"C17H32","236",185,43.2,17.265,75.1086012163338,716.336949821164,1726.5,10.0234
"1-Heptadecene",930.161144155966,42,"C17H34","238",186,45,17.358,79.6232284825441,850.537915673422,1735.8,10.0728
"1-Octadecene",939.362296814289,39,"C18H36","252",186,55.2,17.358,109.004493605254,830.357803209035,1735.8,10.0728
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 2)",796.697055436265,12,"C21H42","294",186,20.4000000000001,17.358,8.76253024542024,787.934525190845,1735.8,10.0728
"Octadecane",886.280672624071,38,"C18H38","254",187,54.5,17.455,106.115726152965,780.164946471106,1745.5,10.1247
"Heptadecane",855.779547477515,41,"C17H36","240",187,45.5,17.455,80.3351475221999,775.444399955315,1745.5,10.1247
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 2)",929.039149199463,12,"C21H42","294",188,5.90000000000009,17.503,0,929.039149199463,1750.3,10.1507
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 1)",918.702657406783,13,"C21H42","294",188,23.3999999999999,17.503,16.8456835970973,901.856973809686,1750.3,10.1507
"2,4,6,8-Tetraethyl-10-methyl-1-dodecene",807.835320237811,146,"C21H42","294",188,18.5,17.503,2.84808318573959,804.987237052072,1750.3,10.1507
"1-Octadecene",799.720988255401,39,"C18H36","252",188,40.7,17.503,66.2657830086272,733.455205246774,1750.3,10.1507
"2,4,6,8-Tetraethyl-1-dodecene (isomer 2)",799.884235455788,147,"C20H40","280",188,46.5,17.503,82.8343712506427,717.049864205145,1750.3,10.1507
"2,4,6,8,10,12,14-Heptamethyl-1,14-pentadecadiene (isomer)",927.951766637173,11,"C22H42","306",189,33.7,17.645,45.4944743553416,882.457292281832,1764.5,10.2267
"2,4,6,8,10-Pentaethyl-1,10-undecadiene",773.72871692798,145,"C21H40","292",189,15.2,17.645,0,773.72871692798,1764.5,10.2267
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 2)",851.856544752083,12,"C21H42","294",190,25.2,17.814,20.7308858201416,831.125658931941,1781.4,10.3174
"1-Octadecene",741.424044348789,39,"C18H36","252",190,9.59999999999991,17.814,0,741.424044348789,1781.4,10.3174
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 1)",839.129462998733,13,"C21H42","294",190,54.5,17.814,102.969574491973,736.15988850676,1781.4,10.3174
"2,4,6,8-Tetraethyl-10-methyl-1-dodecene",814.936939333585,146,"C21H42","294",190,49.6000000000001,17.814,89.2163466936122,725.720592639973,1781.4,10.3174
"2,4,6,8,10,12,14-Heptamethyl-1,14-pentadecadiene (isomer)",935.624414029154,11,"C22H42","306",191,1.20000000000005,17.994,0,935.624414029154,1799.4,10.414
"1,17-Octadecadiene",720.442375693914,40,"C18H34","250",191,15.7,17.994,0,720.442375693914,1799.4,10.414
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 2)",843.838622042796,12,"C21H42","294",192,69.8999999999999,18.261,141.391490060785,702.447131982011,1826.1,10.5506
"1,18-Nonadecadiene",790.23237030187,37,"C19H36","264",195,29.5999999999999,18.545,29.8058775950388,760.426492706831,1854.5,10.6959
"1-Nonadecene",934.743789080627,36,"C19H38","266",196,27.1000000000001,18.641,22.6892334102251,912.054555670402,1864.1,10.7446
"1-Octadecene",945.566466301089,39,"C18H36","252",196,73.0999999999999,18.641,146.073172040126,799.493294260963,1864.1,10.7446
"Nonadecane",901.84075643649,35,"C19H40","268",197,26.5999999999999,18.734,20.993914807302,880.846841629188,1873.4,10.7926
"Octadecane",934.684502965764,38,"C18H38","254",197,73.4000000000001,18.734,145.900501761503,788.78400120426,1873.4,10.7926
"1-Nonadecene",701.660736727257,36,"C19H38","266",198,8.90000000000009,18.823,0,701.660736727257,1882.3,10.8379
"2,4,6,8,10-Pentaethyl-1-tetradecene",889.898675284323,144,"C24H48","336",200,57.0999999999999,18.97,100.500790722193,789.39788456213,1897,10.9132
"Nonadecane",738.162148857693,35,"C19H40","268",200,3,18.97,0,738.162148857693,1897,10.9132
"1-Nonadecene",737.351840942851,36,"C19H38","266",200,5.79999999999995,18.97,0,737.351840942851,1897,10.9132
"2,4,6,8,10-Pentaethyl-1-tetradecene",770.00286495254,144,"C24H48","336",201,42.5999999999999,19.115,61.4308134972532,708.572051455287,1911.5,10.9846
"2,4,6,8,10-Pentaethyl-1-tetradecene",743.48216665353,144,"C24H48","336",203,30.1999999999998,19.239,28.4864078174537,714.995758836076,1923.9,11.0452
"2,4,6,8,10-Pentaethyl-1-tetradecene",833.730619400595,144,"C24H48","336",205,6.89999999999986,19.472,0,833.730619400595,1947.2,11.1585
"2,4,6,8,10-Pentaethyl-1-tetradecene",826.747259654067,144,"C24H48","336",206,3.90000000000009,19.58,0,826.747259654067,1958,11.2111
"1-Eicosene",743.278837892963,33,"C20H40","280",206,33.3,19.58,35.0357507660877,708.243087126875,1958,11.2111
"2,4,6,8,10-Pentaethyl-1-tetradecene",958.466350964759,144,"C24H48","336",207,17.8000000000002,19.719,0,958.466350964759,1971.9,11.2791
"2,4,6,8,10,12,14,16-Octamethyl-1,16-heptadecadiene (isomer)",785.239237206522,10,"C25H48","348",208,28.3,19.823,21.3817282954143,763.857508911108,1982.3,11.3298
"2,4,6,8,10,12-Hexaethyl-1,12-tridecadiene",791.606764207065,143,"C25H48","348",208,35.2,19.823,38.7857539222117,752.821010284853,1982.3,11.3298
"1-Eicosene",912.192453379831,33,"C20H40","280",210,3.10000000000014,19.944,0,912.192453379831,1994.4,11.3891
"1-Heneicosene",911.027942756422,30,"C21H42","294",210,97.0999999999999,19.944,193.43160850381,717.596334252611,1994.4,11.3891
"Eicosane",819.969716141224,32,"C20H42","282",213,3.29999999999995,20.033,0,819.969716141224,2003.3,11.4318
"2,4,6,8,10,12-Hexaethyl-1,12-tridecadiene",741.187303945898,143,"C25H48","348",214,8.70000000000005,20.088,0,741.187303945898,2008.8,11.4571
"2,4,6,8,10-Pentaethyl-1-tetradecene",835.023943541177,144,"C24H48","336",215,67.1000000000001,20.212,115.990500692658,719.033442848519,2021.2,11.5151
"2,4,6,8,10-Pentaethyl-1-tetradecene",908.760640709395,144,"C24H48","336",216,79.8000000000002,20.339,146.17483652097,762.585804188425,2033.9,11.5744
"2,4,6,8,10,12,14,16-Octamethyl-1,16-heptadecadiene (isomer)",942.659698006442,10,"C25H48","348",217,34.1000000000001,20.447,33.386315840955,909.273382165487,2044.7,11.6244
"2,4,6,8,10,12-Hexaethyl-1,12-tridecadiene",780.159553321194,143,"C25H48","348",217,27.2,20.447,16.5134249523159,763.646128368878,2044.7,11.6244
"2,4,6,8,10,12-Hexaethyl-1,12-tridecadiene",928.621635200341,143,"C25H48","348",218,41.5,20.59,50.7770762506071,877.844558949733,2059,11.691
"2,4,6,8,10,12,14,16-Octamethyl-1,16-heptadecadiene (isomer)",768.469987102106,10,"C25H48","348",218,48.4000000000001,20.59,67.5327829043227,700.937204197783,2059,11.691
"2,4,6,8,10,12-Hexaethyl-1,12-tridecadiene",781.614486150288,143,"C25H48","348",219,53,20.705,77.9884085969573,703.626077553331,2070.5,11.745
